op_id,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
19,transformer,,unsqueeze,[[T+1]],,,"[[B, T+1]]",[9],,other,,1,transformer,aten.unsqueeze.default,[],decode,True
20,transformer,,unsqueeze,"[[B, T+1]]",,,"[[B, 1, T+1]]",[19],,other,,1,transformer,aten.unsqueeze.default,[],decode,True
21,transformer,,unsqueeze,"[[B, 1, T+1]]",,,"[[B, 1, 1, T+1]]",[20],,other,,1,transformer,aten.unsqueeze.default,[],decode,True
22,transformer,,le,"[[B, 1, 1, T+1], [B, 1, 1, 1]]",,,"[[B, 1, 1, T+1]]","[18, 21]",,other,,1,transformer,aten.le.Tensor,[],decode,True
23,transformer,,expand,"[[B, 1, 1, T+1]]",,,"[[B, 1, 1, T+1]]",[22],,other,,1,transformer,aten.expand.default,[],decode,True
24,transformer,,scalar_tensor,[],,,[[]],[],,other,,1,transformer,aten.scalar_tensor.default,[],decode,True
25,transformer,,where,"[[B, 1, 1, T+1], [], []]",,,"[[B, 1, 1, T+1]]","[23, 24]",,other,,1,transformer,aten.where.self,[],decode,True
26,ln_1,,layernorm,"[[B, 1, d_model], [d_model], [d_model]]",,,"[[B, 1, d_model], [B, 1, 1], [B, 1, 1]]",[3],0,ln_1,,1,transformer.h.0.ln_1,aten.native_layer_norm.default,"[transformer.h.0.ln_1.bias, transformer.h.0.ln_1.weight]",decode,False
27,attn,c_attn,view,"[[B, 1, d_model]]",,,"[[B, d_model]]",[26],0,attn,c_attn,2,transformer.h.0.attn.c_attn,aten.view.default,[],decode,True
28,attn,c_attn,linear,"[[(n_h+2*n_kv)*d_head], [B, d_model], [d_model, (n_h+2*n_kv)*d_head]]","[d_model, (n_h+2*n_kv)*d_head]",2,"[[B, (n_h+2*n_kv)*d_head]]",[27],0,attn,c_attn,2,transformer.h.0.attn.c_attn,aten.addmm.default,"[transformer.h.0.attn.c_attn.bias, transformer.h.0.attn.c_attn.weight]",decode,False
29,attn,c_attn,view,"[[B, (n_h+2*n_kv)*d_head]]",,,"[[B, 1, (n_h+2*n_kv)*d_head]]",[28],0,attn,c_attn,2,transformer.h.0.attn.c_attn,aten.view.default,[],decode,True
30,attn,,split,"[[B, 1, (n_h+2*n_kv)*d_head]]",,,"[[B, 1, n_h*d_head], [B, 1, n_h*d_head], [B, 1, n_h*d_head]]",[29],0,attn,,1,transformer.h.0.attn,aten.split.Tensor,[],decode,True
31,attn,,view,"[[B, 1, n_h*d_head]]",,,"[[B, 1, n_h, d_head]]",[30],0,attn,,1,transformer.h.0.attn,aten.view.default,[],decode,True
32,attn,,transpose,"[[B, 1, n_h, d_head]]",,,"[[B, n_h, 1, d_head]]",[31],0,attn,,1,transformer.h.0.attn,aten.transpose.int,[],decode,True
33,attn,,view,"[[B, 1, n_h*d_head]]",,,"[[B, 1, n_h, d_head]]",[30],0,attn,,1,transformer.h.0.attn,aten.view.default,[],decode,True
34,attn,,transpose,"[[B, 1, n_h, d_head]]",,,"[[B, n_h, 1, d_head]]",[33],0,attn,,1,transformer.h.0.attn,aten.transpose.int,[],decode,True
35,attn,,view,"[[B, 1, n_h*d_head]]",,,"[[B, 1, n_h, d_head]]",[30],0,attn,,1,transformer.h.0.attn,aten.view.default,[],decode,True
36,attn,,transpose,"[[B, 1, n_h, d_head]]",,,"[[B, n_h, 1, d_head]]",[35],0,attn,,1,transformer.h.0.attn,aten.transpose.int,[],decode,True
37,attn,,concat,"[[B, n_h, T, d_head], [B, n_h, 1, d_head]]",,,"[[B, n_h, T+1, d_head]]",[32],0,attn,,1,transformer.h.0.attn,aten.cat.default,[],decode,False
38,attn,,concat,"[[B, n_h, T, d_head], [B, n_h, 1, d_head]]",,,"[[B, n_h, T+1, d_head]]",[34],0,attn,,1,transformer.h.0.attn,aten.cat.default,[],decode,False
39,attn,,transpose,"[[B, n_h, T+1, d_head]]",,,"[[B, n_h, d_head, T+1]]",[37],0,attn,,1,transformer.h.0.attn,aten.transpose.int,[],decode,True
40,attn,,expand,"[[B, n_h, 1, d_head]]",,,"[[B, n_h, 1, d_head]]",[36],0,attn,,1,transformer.h.0.attn,aten.expand.default,[],decode,True
41,attn,,view,"[[B, n_h, 1, d_head]]",,,"[[n_h, B, d_head]]",[40],0,attn,,1,transformer.h.0.attn,aten.view.default,[],decode,True
42,attn,,expand,"[[B, n_h, d_head, T+1]]",,,"[[B, n_h, d_head, T+1]]",[39],0,attn,,1,transformer.h.0.attn,aten.expand.default,[],decode,True
43,attn,,view,"[[B, n_h, d_head, T+1]]",,,"[[n_h, d_head, T+1]]",[42],0,attn,,1,transformer.h.0.attn,aten.view.default,[],decode,True
44,attn,,batched_matmul,"[[n_h, B, d_head], [n_h, d_head, T+1]]",,,"[[n_h, B, T+1]]","[41, 43]",0,attn,,1,transformer.h.0.attn,aten.bmm.default,[],decode,False
45,attn,,_unsafe_view,"[[n_h, B, T+1]]",,,"[[B, n_h, 1, T+1]]",[44],0,attn,,1,transformer.h.0.attn,aten._unsafe_view.default,[],decode,True
46,attn,,elementwise_mul,"[[B, n_h, 1, T+1]]",,,"[[B, n_h, 1, T+1]]",[45],0,attn,,1,transformer.h.0.attn,aten.mul.Tensor,[],decode,False
47,attn,,elementwise_add,"[[B, n_h, 1, T+1], [B, 1, 1, T+1]]",,,"[[B, n_h, 1, T+1]]","[25, 46]",0,attn,,1,transformer.h.0.attn,aten.add.Tensor,[],decode,False
48,attn,,softmax,"[[B, n_h, 1, T+1]]",,,"[[B, n_h, 1, T+1]]",[47],0,attn,,1,transformer.h.0.attn,aten._softmax.default,[],decode,False
49,attn,,expand,"[[B, n_h, 1, T+1]]",,,"[[B, n_h, 1, T+1]]",[48],0,attn,,1,transformer.h.0.attn,aten.expand.default,[],decode,True
50,attn,,view,"[[B, n_h, 1, T+1]]",,,"[[n_h, B, T+1]]",[49],0,attn,,1,transformer.h.0.attn,aten.view.default,[],decode,True
51,attn,,expand,"[[B, n_h, T+1, d_head]]",,,"[[B, n_h, T+1, d_head]]",[38],0,attn,,1,transformer.h.0.attn,aten.expand.default,[],decode,True
52,attn,,view,"[[B, n_h, T+1, d_head]]",,,"[[n_h, T+1, d_head]]",[51],0,attn,,1,transformer.h.0.attn,aten.view.default,[],decode,True
53,attn,,batched_matmul,"[[n_h, B, T+1], [n_h, T+1, d_head]]",,,"[[n_h, B, d_head]]","[50, 52]",0,attn,,1,transformer.h.0.attn,aten.bmm.default,[],decode,False
54,attn,,_unsafe_view,"[[n_h, B, d_head]]",,,"[[B, n_h, 1, d_head]]",[53],0,attn,,1,transformer.h.0.attn,aten._unsafe_view.default,[],decode,True
55,attn,,transpose,"[[B, n_h, 1, d_head]]",,,"[[B, 1, n_h, d_head]]",[54],0,attn,,1,transformer.h.0.attn,aten.transpose.int,[],decode,True
56,attn,,view,"[[B, 1, n_h, d_head]]",,,"[[B, 1, n_h*d_head]]",[55],0,attn,,1,transformer.h.0.attn,aten.view.default,[],decode,True
57,attn,c_proj,view,"[[B, 1, n_h*d_head]]",,,"[[B, n_h*d_head]]",[56],0,attn,c_proj,2,transformer.h.0.attn.c_proj,aten.view.default,[],decode,True
58,attn,c_proj,linear,"[[n_h*d_head], [B, n_h*d_head], [n_h*d_head, d_model]]","[d_model, n_h*d_head]",2,"[[B, d_model]]",[57],0,attn,c_proj,2,transformer.h.0.attn.c_proj,aten.addmm.default,"[transformer.h.0.attn.c_proj.bias, transformer.h.0.attn.c_proj.weight]",decode,False
59,attn,c_proj,view,"[[B, d_model]]",,,"[[B, 1, d_model]]",[58],0,attn,c_proj,2,transformer.h.0.attn.c_proj,aten.view.default,[],decode,True
60,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[3, 59]",0,,,0,transformer.h.0,aten.add.Tensor,[],decode,False
61,ln_2,,layernorm,"[[B, 1, d_model], [d_model], [d_model]]",,,"[[B, 1, d_model], [B, 1, 1], [B, 1, 1]]",[60],0,ln_2,,1,transformer.h.0.ln_2,aten.native_layer_norm.default,"[transformer.h.0.ln_2.bias, transformer.h.0.ln_2.weight]",decode,False
62,mlp,c_fc,view,"[[B, 1, d_model]]",,,"[[B, d_model]]",[61],0,mlp,c_fc,2,transformer.h.0.mlp.c_fc,aten.view.default,[],decode,True
63,mlp,c_fc,linear,"[[d_ff], [B, d_model], [d_model, d_ff]]","[d_model, d_ff]",2,"[[B, d_ff]]",[62],0,mlp,c_fc,2,transformer.h.0.mlp.c_fc,aten.addmm.default,"[transformer.h.0.mlp.c_fc.bias, transformer.h.0.mlp.c_fc.weight]",decode,False
64,mlp,c_fc,view,"[[B, d_ff]]",,,"[[B, 1, d_ff]]",[63],0,mlp,c_fc,2,transformer.h.0.mlp.c_fc,aten.view.default,[],decode,True
65,mlp,act,elementwise_mul,"[[B, 1, d_ff]]",,,"[[B, 1, d_ff]]",[64],0,mlp,act,2,transformer.h.0.mlp.act,aten.mul.Tensor,[],decode,False
66,mlp,act,pow,"[[B, 1, d_ff]]",,,"[[B, 1, d_ff]]",[64],0,mlp,act,2,transformer.h.0.mlp.act,aten.pow.Tensor_Scalar,[],decode,False
67,mlp,act,elementwise_mul,"[[B, 1, d_ff]]",,,"[[B, 1, d_ff]]",[66],0,mlp,act,2,transformer.h.0.mlp.act,aten.mul.Tensor,[],decode,False
68,mlp,act,elementwise_add,"[[B, 1, d_ff], [B, 1, d_ff]]",,,"[[B, 1, d_ff]]","[64, 67]",0,mlp,act,2,transformer.h.0.mlp.act,aten.add.Tensor,[],decode,False
69,mlp,act,elementwise_mul,"[[B, 1, d_ff]]",,,"[[B, 1, d_ff]]",[68],0,mlp,act,2,transformer.h.0.mlp.act,aten.mul.Tensor,[],decode,False
70,mlp,act,tanh,"[[B, 1, d_ff]]",,,"[[B, 1, d_ff]]",[69],0,mlp,act,2,transformer.h.0.mlp.act,aten.tanh.default,[],decode,False
71,mlp,act,elementwise_add,"[[B, 1, d_ff]]",,,"[[B, 1, d_ff]]",[70],0,mlp,act,2,transformer.h.0.mlp.act,aten.add.Tensor,[],decode,False
72,mlp,act,elementwise_mul,"[[B, 1, d_ff], [B, 1, d_ff]]",,,"[[B, 1, d_ff]]","[65, 71]",0,mlp,act,2,transformer.h.0.mlp.act,aten.mul.Tensor,[],decode,False
73,mlp,c_proj,view,"[[B, 1, d_ff]]",,,"[[B, d_ff]]",[72],0,mlp,c_proj,2,transformer.h.0.mlp.c_proj,aten.view.default,[],decode,True
74,mlp,c_proj,linear,"[[d_model], [B, d_ff], [d_ff, d_model]]","[d_ff, d_model]",2,"[[B, d_model]]",[73],0,mlp,c_proj,2,transformer.h.0.mlp.c_proj,aten.addmm.default,"[transformer.h.0.mlp.c_proj.bias, transformer.h.0.mlp.c_proj.weight]",decode,False
75,mlp,c_proj,view,"[[B, d_model]]",,,"[[B, 1, d_model]]",[74],0,mlp,c_proj,2,transformer.h.0.mlp.c_proj,aten.view.default,[],decode,True
76,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[60, 75]",0,,,0,transformer.h.0,aten.add.Tensor,[],decode,False
77,ln_1,,layernorm,"[[B, 1, d_model], [d_model], [d_model]]",,,"[[B, 1, d_model], [B, 1, 1], [B, 1, 1]]",[76],1,ln_1,,1,transformer.h.1.ln_1,aten.native_layer_norm.default,"[transformer.h.1.ln_1.bias, transformer.h.1.ln_1.weight]",decode,False
78,attn,c_attn,view,"[[B, 1, d_model]]",,,"[[B, d_model]]",[77],1,attn,c_attn,2,transformer.h.1.attn.c_attn,aten.view.default,[],decode,True
79,attn,c_attn,linear,"[[(n_h+2*n_kv)*d_head], [B, d_model], [d_model, (n_h+2*n_kv)*d_head]]","[d_model, (n_h+2*n_kv)*d_head]",2,"[[B, (n_h+2*n_kv)*d_head]]",[78],1,attn,c_attn,2,transformer.h.1.attn.c_attn,aten.addmm.default,"[transformer.h.1.attn.c_attn.bias, transformer.h.1.attn.c_attn.weight]",decode,False
80,attn,c_attn,view,"[[B, (n_h+2*n_kv)*d_head]]",,,"[[B, 1, (n_h+2*n_kv)*d_head]]",[79],1,attn,c_attn,2,transformer.h.1.attn.c_attn,aten.view.default,[],decode,True
81,attn,,split,"[[B, 1, (n_h+2*n_kv)*d_head]]",,,"[[B, 1, n_h*d_head], [B, 1, n_h*d_head], [B, 1, n_h*d_head]]",[80],1,attn,,1,transformer.h.1.attn,aten.split.Tensor,[],decode,True
82,attn,,view,"[[B, 1, n_h*d_head]]",,,"[[B, 1, n_h, d_head]]",[81],1,attn,,1,transformer.h.1.attn,aten.view.default,[],decode,True
83,attn,,transpose,"[[B, 1, n_h, d_head]]",,,"[[B, n_h, 1, d_head]]",[82],1,attn,,1,transformer.h.1.attn,aten.transpose.int,[],decode,True
84,attn,,view,"[[B, 1, n_h*d_head]]",,,"[[B, 1, n_h, d_head]]",[81],1,attn,,1,transformer.h.1.attn,aten.view.default,[],decode,True
85,attn,,transpose,"[[B, 1, n_h, d_head]]",,,"[[B, n_h, 1, d_head]]",[84],1,attn,,1,transformer.h.1.attn,aten.transpose.int,[],decode,True
86,attn,,view,"[[B, 1, n_h*d_head]]",,,"[[B, 1, n_h, d_head]]",[81],1,attn,,1,transformer.h.1.attn,aten.view.default,[],decode,True
87,attn,,transpose,"[[B, 1, n_h, d_head]]",,,"[[B, n_h, 1, d_head]]",[86],1,attn,,1,transformer.h.1.attn,aten.transpose.int,[],decode,True
88,attn,,concat,"[[B, n_h, T, d_head], [B, n_h, 1, d_head]]",,,"[[B, n_h, T+1, d_head]]",[83],1,attn,,1,transformer.h.1.attn,aten.cat.default,[],decode,False
89,attn,,concat,"[[B, n_h, T, d_head], [B, n_h, 1, d_head]]",,,"[[B, n_h, T+1, d_head]]",[85],1,attn,,1,transformer.h.1.attn,aten.cat.default,[],decode,False
90,attn,,transpose,"[[B, n_h, T+1, d_head]]",,,"[[B, n_h, d_head, T+1]]",[88],1,attn,,1,transformer.h.1.attn,aten.transpose.int,[],decode,True
91,attn,,expand,"[[B, n_h, 1, d_head]]",,,"[[B, n_h, 1, d_head]]",[87],1,attn,,1,transformer.h.1.attn,aten.expand.default,[],decode,True
92,attn,,view,"[[B, n_h, 1, d_head]]",,,"[[n_h, B, d_head]]",[91],1,attn,,1,transformer.h.1.attn,aten.view.default,[],decode,True
93,attn,,expand,"[[B, n_h, d_head, T+1]]",,,"[[B, n_h, d_head, T+1]]",[90],1,attn,,1,transformer.h.1.attn,aten.expand.default,[],decode,True
94,attn,,view,"[[B, n_h, d_head, T+1]]",,,"[[n_h, d_head, T+1]]",[93],1,attn,,1,transformer.h.1.attn,aten.view.default,[],decode,True
95,attn,,batched_matmul,"[[n_h, B, d_head], [n_h, d_head, T+1]]",,,"[[n_h, B, T+1]]","[92, 94]",1,attn,,1,transformer.h.1.attn,aten.bmm.default,[],decode,False
96,attn,,_unsafe_view,"[[n_h, B, T+1]]",,,"[[B, n_h, 1, T+1]]",[95],1,attn,,1,transformer.h.1.attn,aten._unsafe_view.default,[],decode,True
97,attn,,elementwise_mul,"[[B, n_h, 1, T+1]]",,,"[[B, n_h, 1, T+1]]",[96],1,attn,,1,transformer.h.1.attn,aten.mul.Tensor,[],decode,False
98,attn,,elementwise_add,"[[B, n_h, 1, T+1], [B, 1, 1, T+1]]",,,"[[B, n_h, 1, T+1]]","[25, 97]",1,attn,,1,transformer.h.1.attn,aten.add.Tensor,[],decode,False
99,attn,,softmax,"[[B, n_h, 1, T+1]]",,,"[[B, n_h, 1, T+1]]",[98],1,attn,,1,transformer.h.1.attn,aten._softmax.default,[],decode,False
100,attn,,expand,"[[B, n_h, 1, T+1]]",,,"[[B, n_h, 1, T+1]]",[99],1,attn,,1,transformer.h.1.attn,aten.expand.default,[],decode,True
101,attn,,view,"[[B, n_h, 1, T+1]]",,,"[[n_h, B, T+1]]",[100],1,attn,,1,transformer.h.1.attn,aten.view.default,[],decode,True
102,attn,,expand,"[[B, n_h, T+1, d_head]]",,,"[[B, n_h, T+1, d_head]]",[89],1,attn,,1,transformer.h.1.attn,aten.expand.default,[],decode,True
103,attn,,view,"[[B, n_h, T+1, d_head]]",,,"[[n_h, T+1, d_head]]",[102],1,attn,,1,transformer.h.1.attn,aten.view.default,[],decode,True
104,attn,,batched_matmul,"[[n_h, B, T+1], [n_h, T+1, d_head]]",,,"[[n_h, B, d_head]]","[101, 103]",1,attn,,1,transformer.h.1.attn,aten.bmm.default,[],decode,False
105,attn,,_unsafe_view,"[[n_h, B, d_head]]",,,"[[B, n_h, 1, d_head]]",[104],1,attn,,1,transformer.h.1.attn,aten._unsafe_view.default,[],decode,True
106,attn,,transpose,"[[B, n_h, 1, d_head]]",,,"[[B, 1, n_h, d_head]]",[105],1,attn,,1,transformer.h.1.attn,aten.transpose.int,[],decode,True
107,attn,,view,"[[B, 1, n_h, d_head]]",,,"[[B, 1, n_h*d_head]]",[106],1,attn,,1,transformer.h.1.attn,aten.view.default,[],decode,True
108,attn,c_proj,view,"[[B, 1, n_h*d_head]]",,,"[[B, n_h*d_head]]",[107],1,attn,c_proj,2,transformer.h.1.attn.c_proj,aten.view.default,[],decode,True
109,attn,c_proj,linear,"[[n_h*d_head], [B, n_h*d_head], [n_h*d_head, d_model]]","[d_model, n_h*d_head]",2,"[[B, d_model]]",[108],1,attn,c_proj,2,transformer.h.1.attn.c_proj,aten.addmm.default,"[transformer.h.1.attn.c_proj.bias, transformer.h.1.attn.c_proj.weight]",decode,False
110,attn,c_proj,view,"[[B, d_model]]",,,"[[B, 1, d_model]]",[109],1,attn,c_proj,2,transformer.h.1.attn.c_proj,aten.view.default,[],decode,True
111,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[76, 110]",1,,,0,transformer.h.1,aten.add.Tensor,[],decode,False
112,ln_2,,layernorm,"[[B, 1, d_model], [d_model], [d_model]]",,,"[[B, 1, d_model], [B, 1, 1], [B, 1, 1]]",[111],1,ln_2,,1,transformer.h.1.ln_2,aten.native_layer_norm.default,"[transformer.h.1.ln_2.bias, transformer.h.1.ln_2.weight]",decode,False
113,mlp,c_fc,view,"[[B, 1, d_model]]",,,"[[B, d_model]]",[112],1,mlp,c_fc,2,transformer.h.1.mlp.c_fc,aten.view.default,[],decode,True
114,mlp,c_fc,linear,"[[d_ff], [B, d_model], [d_model, d_ff]]","[d_model, d_ff]",2,"[[B, d_ff]]",[113],1,mlp,c_fc,2,transformer.h.1.mlp.c_fc,aten.addmm.default,"[transformer.h.1.mlp.c_fc.bias, transformer.h.1.mlp.c_fc.weight]",decode,False
115,mlp,c_fc,view,"[[B, d_ff]]",,,"[[B, 1, d_ff]]",[114],1,mlp,c_fc,2,transformer.h.1.mlp.c_fc,aten.view.default,[],decode,True
116,mlp,act,elementwise_mul,"[[B, 1, d_ff]]",,,"[[B, 1, d_ff]]",[115],1,mlp,act,2,transformer.h.1.mlp.act,aten.mul.Tensor,[],decode,False
117,mlp,act,pow,"[[B, 1, d_ff]]",,,"[[B, 1, d_ff]]",[115],1,mlp,act,2,transformer.h.1.mlp.act,aten.pow.Tensor_Scalar,[],decode,False
118,mlp,act,elementwise_mul,"[[B, 1, d_ff]]",,,"[[B, 1, d_ff]]",[117],1,mlp,act,2,transformer.h.1.mlp.act,aten.mul.Tensor,[],decode,False
119,mlp,act,elementwise_add,"[[B, 1, d_ff], [B, 1, d_ff]]",,,"[[B, 1, d_ff]]","[115, 118]",1,mlp,act,2,transformer.h.1.mlp.act,aten.add.Tensor,[],decode,False
120,mlp,act,elementwise_mul,"[[B, 1, d_ff]]",,,"[[B, 1, d_ff]]",[119],1,mlp,act,2,transformer.h.1.mlp.act,aten.mul.Tensor,[],decode,False
121,mlp,act,tanh,"[[B, 1, d_ff]]",,,"[[B, 1, d_ff]]",[120],1,mlp,act,2,transformer.h.1.mlp.act,aten.tanh.default,[],decode,False
122,mlp,act,elementwise_add,"[[B, 1, d_ff]]",,,"[[B, 1, d_ff]]",[121],1,mlp,act,2,transformer.h.1.mlp.act,aten.add.Tensor,[],decode,False
123,mlp,act,elementwise_mul,"[[B, 1, d_ff], [B, 1, d_ff]]",,,"[[B, 1, d_ff]]","[116, 122]",1,mlp,act,2,transformer.h.1.mlp.act,aten.mul.Tensor,[],decode,False
124,mlp,c_proj,view,"[[B, 1, d_ff]]",,,"[[B, d_ff]]",[123],1,mlp,c_proj,2,transformer.h.1.mlp.c_proj,aten.view.default,[],decode,True
125,mlp,c_proj,linear,"[[d_model], [B, d_ff], [d_ff, d_model]]","[d_ff, d_model]",2,"[[B, d_model]]",[124],1,mlp,c_proj,2,transformer.h.1.mlp.c_proj,aten.addmm.default,"[transformer.h.1.mlp.c_proj.bias, transformer.h.1.mlp.c_proj.weight]",decode,False
126,mlp,c_proj,view,"[[B, d_model]]",,,"[[B, 1, d_model]]",[125],1,mlp,c_proj,2,transformer.h.1.mlp.c_proj,aten.view.default,[],decode,True
127,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[111, 126]",1,,,0,transformer.h.1,aten.add.Tensor,[],decode,False
128,ln_1,,layernorm,"[[B, 1, d_model], [d_model], [d_model]]",,,"[[B, 1, d_model], [B, 1, 1], [B, 1, 1]]",[127],2,ln_1,,1,transformer.h.2.ln_1,aten.native_layer_norm.default,"[transformer.h.2.ln_1.bias, transformer.h.2.ln_1.weight]",decode,False
129,attn,c_attn,view,"[[B, 1, d_model]]",,,"[[B, d_model]]",[128],2,attn,c_attn,2,transformer.h.2.attn.c_attn,aten.view.default,[],decode,True
130,attn,c_attn,linear,"[[(n_h+2*n_kv)*d_head], [B, d_model], [d_model, (n_h+2*n_kv)*d_head]]","[d_model, (n_h+2*n_kv)*d_head]",2,"[[B, (n_h+2*n_kv)*d_head]]",[129],2,attn,c_attn,2,transformer.h.2.attn.c_attn,aten.addmm.default,"[transformer.h.2.attn.c_attn.bias, transformer.h.2.attn.c_attn.weight]",decode,False
131,attn,c_attn,view,"[[B, (n_h+2*n_kv)*d_head]]",,,"[[B, 1, (n_h+2*n_kv)*d_head]]",[130],2,attn,c_attn,2,transformer.h.2.attn.c_attn,aten.view.default,[],decode,True
132,attn,,split,"[[B, 1, (n_h+2*n_kv)*d_head]]",,,"[[B, 1, n_h*d_head], [B, 1, n_h*d_head], [B, 1, n_h*d_head]]",[131],2,attn,,1,transformer.h.2.attn,aten.split.Tensor,[],decode,True
133,attn,,view,"[[B, 1, n_h*d_head]]",,,"[[B, 1, n_h, d_head]]",[132],2,attn,,1,transformer.h.2.attn,aten.view.default,[],decode,True
134,attn,,transpose,"[[B, 1, n_h, d_head]]",,,"[[B, n_h, 1, d_head]]",[133],2,attn,,1,transformer.h.2.attn,aten.transpose.int,[],decode,True
135,attn,,view,"[[B, 1, n_h*d_head]]",,,"[[B, 1, n_h, d_head]]",[132],2,attn,,1,transformer.h.2.attn,aten.view.default,[],decode,True
136,attn,,transpose,"[[B, 1, n_h, d_head]]",,,"[[B, n_h, 1, d_head]]",[135],2,attn,,1,transformer.h.2.attn,aten.transpose.int,[],decode,True
137,attn,,view,"[[B, 1, n_h*d_head]]",,,"[[B, 1, n_h, d_head]]",[132],2,attn,,1,transformer.h.2.attn,aten.view.default,[],decode,True
138,attn,,transpose,"[[B, 1, n_h, d_head]]",,,"[[B, n_h, 1, d_head]]",[137],2,attn,,1,transformer.h.2.attn,aten.transpose.int,[],decode,True
139,attn,,concat,"[[B, n_h, T, d_head], [B, n_h, 1, d_head]]",,,"[[B, n_h, T+1, d_head]]",[134],2,attn,,1,transformer.h.2.attn,aten.cat.default,[],decode,False
140,attn,,concat,"[[B, n_h, T, d_head], [B, n_h, 1, d_head]]",,,"[[B, n_h, T+1, d_head]]",[136],2,attn,,1,transformer.h.2.attn,aten.cat.default,[],decode,False
141,attn,,transpose,"[[B, n_h, T+1, d_head]]",,,"[[B, n_h, d_head, T+1]]",[139],2,attn,,1,transformer.h.2.attn,aten.transpose.int,[],decode,True
142,attn,,expand,"[[B, n_h, 1, d_head]]",,,"[[B, n_h, 1, d_head]]",[138],2,attn,,1,transformer.h.2.attn,aten.expand.default,[],decode,True
143,attn,,view,"[[B, n_h, 1, d_head]]",,,"[[n_h, B, d_head]]",[142],2,attn,,1,transformer.h.2.attn,aten.view.default,[],decode,True
144,attn,,expand,"[[B, n_h, d_head, T+1]]",,,"[[B, n_h, d_head, T+1]]",[141],2,attn,,1,transformer.h.2.attn,aten.expand.default,[],decode,True
145,attn,,view,"[[B, n_h, d_head, T+1]]",,,"[[n_h, d_head, T+1]]",[144],2,attn,,1,transformer.h.2.attn,aten.view.default,[],decode,True
146,attn,,batched_matmul,"[[n_h, B, d_head], [n_h, d_head, T+1]]",,,"[[n_h, B, T+1]]","[143, 145]",2,attn,,1,transformer.h.2.attn,aten.bmm.default,[],decode,False
